t: 0	x_0: 1000	x_1: 0	
t: 2.0400000000000005	x_0: 994.6142095279292	x_1: -325.20339301481243	
t: 2.0500000000000003	x_0: 990.8748146351124	x_1: -422.51623588597226	
t: 2.06	x_0: 986.1641236170815	x_1: -519.4149347646292	
t: 2.07	x_0: 980.4867538488628	x_1: -615.8045055610685	
t: 2.0799999999999996	x_0: 973.8482702838662	x_1: -711.5904632305321	
t: 2.0899999999999994	x_0: 966.2551799991218	x_1: -806.678914391368	
t: 2.099999999999999	x_0: 957.7149258170085	x_1: -900.9766493632302	
t: 2.109999999999999	x_0: 948.2358790097259	x_1: -994.3912335351091	
t: 2.1199999999999988	x_0: 937.82733109366	x_1: -1086.83109797363	
t: 2.1299999999999986	x_0: 926.4994847216877	x_1: -1178.2056291828017	
t: 2.1399999999999983	x_0: 914.2634436823461	x_1: -1268.4252579272274	
t: 2.149999999999998	x_0: 901.1312020156695	x_1: -1357.401547031713	
t: 2.159999999999998	x_0: 887.1156322563647	x_1: -1445.0472780712032	
t: 2.1699999999999977	x_0: 872.2304728158471	x_1: -1531.276536866072	
t: 2.1799999999999975	x_0: 856.4903145155066	x_1: -1616.0047976989608	
t: 2.1899999999999973	x_0: 839.9105862844044	x_1: -1699.149006170608	
t: 2.199999999999997	x_0: 822.507540035419	x_1: -1780.6276606134559	
t: 2.209999999999997	x_0: 804.2982347346671	x_1: -1860.3608919832263	
t: 2.2199999999999966	x_0: 785.3005196798148	x_1: -1938.2705421501519	
t: 2.2299999999999964	x_0: 765.5330170036701	x_1: -2014.2802405131201	
t: 2.239999999999996	x_0: 745.0151034202071	x_1: -2088.3154788616284	
t: 2.249999999999996	x_0: 723.7668912309149	x_1: -2160.3036844121666	
t: 2.259999999999996	x_0: 701.8092086100901	x_1: -2230.174290947434	
t: 2.2699999999999956	x_0: 679.1635791883967	x_1: -2297.858807988659	
t: 2.2799999999999954	x_0: 655.8522009547079	x_1: -2363.2908879332076	
t: 2.289999999999995	x_0: 631.897924496908	x_1: -2426.4063910916816	
t: 2.299999999999995	x_0: 607.3242306029877	x_1: -2487.1434485607438	
t: 2.3099999999999947	x_0: 582.1552072443848	x_1: -2545.442522870042	
t: 2.3199999999999945	x_0: 556.4155259641346	x_1: -2601.2464663437854	
t: 2.3299999999999943	x_0: 530.1304176929743	x_1: -2654.500577119762	
t: 2.339999999999994	x_0: 503.32564801710714	x_1: -2705.1526527708847	
t: 2.349999999999994	x_0: 476.0274919218699	x_1: -2753.1530414767035	
t: 2.3599999999999937	x_0: 448.26270803606116	x_1: -2798.454690694723	
t: 2.3699999999999934	x_0: 420.05851240217623	x_1: -2841.0131932838167	
t: 2.3799999999999932	x_0: 391.442551798261	x_1: -2880.7868310345207	
t: 2.389999999999993	x_0: 362.4428766375346	x_1: -2917.736615563543	
t: 2.399999999999993	x_0: 333.08791347234677	x_1: -2951.8263265323953	
t: 2.4099999999999926	x_0: 303.40643712942136	x_1: -2983.0225471526846	
t: 2.4199999999999924	x_0: 273.4275425037011	x_1: -3011.2946969432633	
t: 2.429999999999992	x_0: 243.18061603844166	x_1: -3036.615061707124	
t: 2.439999999999992	x_0: 212.69530691951158	x_1: -3058.9588206986546	
t: 2.4499999999999917	x_0: 182.00149801213448	x_1: -3078.3040709546244	
t: 2.4599999999999915	x_0: 151.1292765685623	x_1: -3094.631848765046	
t: 2.4699999999999913	x_0: 120.10890473539322	x_1: -3107.9261482628704	
